lam,method,seed,floor,ratio,reward,w2,in_dist
1.5,target,-1,0.13343355485436836,6.079555783268667,-0.4631754457950592,0.0,1.0
1.5,unguided,0,0.13343355485436836,1.08985182065208,-16.347984313964844,1.7842582523188297,0.8965
1.5,unguided,1,0.13343355485436836,1.1103710965925886,-16.199922561645508,1.765519205038016,0.8875
1.5,unguided,2,0.13343355485436836,1.0865034441778259,-15.808804512023926,1.7490307740356341,0.8915
1.5,plugin,0,0.13343355485436836,24.087270663800425,-0.22284577786922455,0.7134664462646626,0.875
1.5,plugin,1,0.13343355485436836,19.17967878724609,-0.24559445679187775,0.711965873188249,0.8535
1.5,plugin,2,0.13343355485436836,19.525078446914865,-0.24180404841899872,0.7370625168886799,0.8565
1.5,plugin_damping,0,0.13343355485436836,9.902797361195345,-0.38607150316238403,0.7665229496149744,0.8115
1.5,plugin_damping,1,0.13343355485436836,7.071088759253624,-0.5254336595535278,0.7738796309998184,0.8135
1.5,plugin_damping,2,0.13343355485436836,7.933616740671936,-0.46678614616394043,0.7783562248206051,0.799
1.5,second_order,0,0.13343355485436836,2.3178057442945956,-2.8247365951538086,0.820032875454,0.8865
1.5,second_order,1,0.13343355485436836,2.2421613858750775,-3.0478901863098145,0.8290460565856275,0.876
1.5,second_order,2,0.13343355485436836,2.2687307299178237,-2.9083776473999023,0.8157699081159977,0.8715
5.0,target,-1,0.17997315032287078,8.596992385552216,-0.17140747606754303,0.0,1.0
5.0,unguided,0,0.17997315032287078,1.08985182065208,-16.347984313964844,2.1988240805632926,0.8965
5.0,unguided,1,0.17997315032287078,1.1103710965925886,-16.199922561645508,2.1821789350017875,0.8875
5.0,unguided,2,0.17997315032287078,1.0865034441778259,-15.808804512023926,2.1675740858237336,0.8915
5.0,plugin,0,0.17997315032287078,145.81231484577668,-0.16118980944156647,0.8554977756871386,0.6025
5.0,plugin,1,0.17997315032287078,148.3771912561035,-0.1628122478723526,0.8383112420407743,0.604
5.0,plugin,2,0.17997315032287078,143.76320101867157,-0.16562946140766144,0.8789115993845585,0.5965
5.0,plugin_damping,0,0.17997315032287078,32.76932826266187,-0.23611479997634888,1.2586048344290364,0.812
5.0,plugin_damping,1,0.17997315032287078,29.623350971153815,-0.24139511585235596,1.253095299613758,0.8055
5.0,plugin_damping,2,0.17997315032287078,22.441796916286837,-0.2520950734615326,1.2614168830481536,0.797
5.0,second_order,0,0.17997315032287078,3.1967661465408193,-1.3508806228637695,1.0460870198652252,0.85
5.0,second_order,1,0.17997315032287078,3.0385129175480734,-1.4910343885421753,1.0355471976016024,0.8305
5.0,second_order,2,0.17997315032287078,3.140109438530808,-1.3862175941467285,1.0367224012869718,0.843
15.0,target,-1,0.12346934110069863,11.426035901069884,-0.07629438489675522,0.0,1.0
15.0,unguided,0,0.12346934110069863,1.08985182065208,-16.347984313964844,2.4686505193585506,0.8965
15.0,unguided,1,0.12346934110069863,1.1103710965925886,-16.199922561645508,2.4547916376301715,0.8875
15.0,unguided,2,0.12346934110069863,1.0865034441778259,-15.808804512023926,2.4420439478442613,0.8915
15.0,plugin,0,0.12346934110069863,1991.7871076936653,-192.19627380371094,61.7722659250233,0.516
15.0,plugin,1,0.12346934110069863,2021.3483664259145,-89.51827239990234,42.02091714357747,0.4875
15.0,plugin,2,0.12346934110069863,2176.1644342979666,-170.72312927246094,58.20638384269049,0.4935
15.0,plugin_damping,0,0.12346934110069863,143.35915094383768,-0.2161606252193451,1.5577491481931276,0.8105
15.0,plugin_damping,1,0.12346934110069863,155.19079371799378,-0.21870695054531097,1.557986014181259,0.807
15.0,plugin_damping,2,0.12346934110069863,99.89869531089857,-0.21772943437099457,1.5595488240022224,0.8015
15.0,second_order,0,0.12346934110069863,4.2636893423602285,-0.6001021265983582,1.0166460421869388,0.82
15.0,second_order,1,0.12346934110069863,3.939334712898154,-0.6965404748916626,1.0194723662037566,0.826
15.0,second_order,2,0.12346934110069863,4.115496552583697,-0.6341014504432678,1.0145252538368994,0.823
